date,section,n_articles,mean_headline,mean_body,mean_delta
2025-09-19,technology,1,-0.6597,-0.7992,0.13950000000000007
2025-09-22,technology,1,0.0,0.7574,-0.7574
2025-09-23,technology,1,0.0,0.9038,-0.9038
2025-09-30,technology,2,0.24695,0.9416500000000001,-0.6947000000000001
2025-10-03,technology,1,-0.5267,0.7713,-1.298
2025-10-10,technology,1,0.0,0.7906,-0.7906
2025-10-13,technology,1,0.0,0.8555,-0.8555
2025-10-15,technology,1,0.2263,0.8834,-0.6571
2025-10-17,technology,1,-0.1531,0.7814,-0.9345
2025-10-19,technology,1,0.25,0.8591,-0.6091
2025-10-22,technology,1,0.0,0.9537,-0.9537
2025-10-27,technology,1,-0.5106,0.6621,-1.1727
2025-10-28,technology,1,0.0,0.9545,-0.9545
2025-11-03,technology,1,0.1779,0.9578,-0.7799
2025-11-08,technology,1,0.5106,0.9338,-0.4231999999999999
2025-11-15,technology,2,-0.5326500000000001,-0.84495,0.31229999999999997
2025-11-17,technology,1,0.0,0.8979,-0.8979
2025-11-18,technology,1,0.6808,0.714,-0.03320000000000001
2025-11-19,technology,1,0.0,0.8122,-0.8122
2025-11-21,technology,1,-0.4939,0.1482,-0.6421
2025-11-27,technology,1,0.0,0.9129,-0.9129
2025-12-01,technology,1,0.0,0.9898,-0.9898
2025-12-08,technology,2,-0.49985,0.2751,-0.77495
2025-12-10,technology,1,0.1779,0.8957,-0.7178
2025-12-12,technology,3,0.21230000000000002,0.8869666666666666,-0.6746666666666666
2025-12-13,technology,1,0.4939,0.9001,-0.4062
2025-12-14,technology,1,0.6486,0.4767,0.17189999999999994
2024-12-01,world,1,0.4019,0.9842,-0.5823
2025-01-27,world,1,-0.3182,-0.7787,0.46049999999999996
2025-03-06,world,1,0.0,0.5346,-0.5346
2025-04-08,world,1,-0.6597,-0.9578,0.29810000000000003
2025-04-11,world,1,-0.5994,-0.6486,0.04919999999999991
2025-05-06,world,1,-0.8807,-0.9893,0.10859999999999992
2025-05-10,world,1,0.0,0.0258,-0.0258
2025-06-30,world,1,0.5948,0.2638,0.331
2025-07-21,world,1,-0.4215,0.7264,-1.1479
2025-07-25,world,1,0.0,-0.3365,0.3365
2025-08-01,world,1,0.128,0.2023,-0.0743
2025-09-01,world,1,0.0772,-0.8074,0.8846
2025-09-02,world,1,0.0,0.9716,-0.9716
2025-09-03,world,1,-0.6369,0.3612,-0.9981
2025-09-16,world,1,0.0,-0.7743,0.7743
2025-09-19,world,1,-0.5994,-0.9371,0.3377
2025-09-20,world,1,0.0,0.9313,-0.9313
2025-09-21,world,1,-0.5994,0.1531,-0.7525000000000001
2025-09-26,world,1,0.0,0.7089,-0.7089
2025-09-27,world,1,-0.0772,0.5423,-0.6195
2025-10-08,world,1,0.3182,0.4927,-0.17450000000000004
2025-10-18,world,1,-0.4767,0.7311,-1.2078
2025-10-19,world,1,0.0,0.3071,-0.3071
2025-10-25,world,1,-0.8126,-0.4417,-0.3709
2025-10-26,world,3,0.15639999999999998,0.010366666666666663,0.14603333333333327
2025-10-28,world,1,0.0,0.93,-0.93
2025-11-02,world,1,-0.8126,-0.743,-0.0696
2025-11-05,world,1,0.7269,-0.9153,1.6421999999999999
2025-11-06,world,1,0.0,-0.079,0.079
2025-11-11,world,1,0.0,0.5267,-0.5267
2025-11-15,world,2,-0.2997,-0.7834000000000001,0.4837
2025-11-17,world,1,-0.0516,-0.802,0.7504000000000001
2025-11-26,world,1,-0.8402,-0.7783,-0.061899999999999955
2025-11-28,world,1,0.0,0.0,0.0
2025-12-01,world,1,0.0,-0.7783,0.7783
2025-12-03,world,1,0.0,0.4287,-0.4287
2025-12-05,world,1,0.0,-0.7964,0.7964
2025-12-06,world,1,0.4215,-0.891,1.3125
2025-12-08,world,4,-0.006374999999999992,0.10734999999999997,-0.11372499999999997
2025-12-09,world,2,-0.2997,-0.59465,0.29495
2025-12-10,world,6,-0.009916666666666664,0.2120333333333333,-0.22194999999999998
2025-12-11,world,7,0.004699999999999998,-0.10298571428571426,0.10768571428571426
2025-12-12,world,12,0.06849166666666666,-0.11271666666666667,0.18120833333333333
2025-12-13,world,9,-0.18889999999999998,-0.45347777777777787,0.26457777777777775
2025-12-14,world,8,-0.2808625,-0.24043750000000003,-0.04042499999999996
2025-12-15,world,7,-0.18908571428571427,-0.44005714285714287,0.25097142857142857
